x,y,color,cluster
331.0728962776903,264.9913793308111,11,4
328.7184959840498,247.5333452368024,11,4
353.9375463866984,256.53858778643536,11,4
364.04015650115457,257.23609940388815,11,4
326.0739027386432,240.4098346863614,11,4
351.39555479518674,235.46225410793883,11,4
346.1755073713244,238.18286649296877,11,4
336.11896653481386,238.3042841167235,11,4
349.90002474604097,266.1549636537544,11,4
355.30181240185084,228.76512575873903,11,4
360.0825162053921,257.574770781119,11,4
372.2363537747246,233.68637810912836,11,4
363.20062933112496,244.4396390926674,11,4
356.6332834329985,225.00590488114332,11,4
337.2541903183628,231.77657884683455,11,4
364.0330507535557,236.93478400032757,11,4
332.75777649234493,242.30948132050275,11,4
459.312319280334,251.41970431908823,11,4
342.11289307504177,261.2823312578307,11,4
364.6948959778308,224.81801726893391,11,4
345.87607761786103,235.88848759988724,11,4
337.75115248443467,237.48569315355755,11,4
361.179894261726,249.8525381404914,11,4
364.39612842662245,256.35204992896547,11,4
374.7521187843793,258.5062546846875,11,4
366.2557410046768,237.8020292729757,11,4
354.8228194014188,252.4094392204045,11,4
339.3600924494061,254.6116539428272,11,4
363.9149042275261,268.5657738760191,11,4
337.6106754567804,252.52686852887533,11,4
370.0036288207413,259.01395096594644,11,4
364.4011731234668,229.83800273614477,11,4
365.6651198258857,258.1150666987931,11,4
290.57041427559363,244.76535547676315,11,4
347.8114396779074,248.5205245718718,11,4
353.3810548723873,243.13856935358768,11,4
276.3498680394262,220.28018858251465,11,4
394.90157270700195,229.7059379643746,11,4
266.73780831347443,157.4434490187848,11,4
357.73981799381846,251.20701549276072,11,4
364.9225019694482,261.6372196556888,11,4
342.1299014014488,255.27981835043428,11,4
352.6466914351706,249.01118000594937,11,4
377.7170399058807,242.7589731629884,11,4
375.2489529519712,274.170492846996,11,4
339.6237792716772,233.7099868802563,11,4
362.4267489744979,270.0296431852071,11,4
341.4515385747153,249.4166067832442,11,4
352.60699588784473,274.2674480343872,11,4
344.10639461879214,273.40411334854304,11,4
357.8367777059352,253.6742847387841,11,4
338.5548171814595,255.29569081031232,11,4
345.1609004295576,252.98861245227064,11,4
379.3588030373675,279.5348537444855,11,4
374.95083758322414,280.9573837508587,11,4
352.0103571307805,256.1034598187314,11,4
374.3148383853013,257.6011921921957,11,4
337.25969199566646,285.77985784067295,11,4
371.92956619553297,260.3922084745174,11,4
357.38662259775106,259.7136096287014,11,4
368.9997761634946,249.80996218232636,11,4
341.6836895339704,259.27990453316244,11,4
359.9742308329057,282.6904013813528,11,4
360.02344150221467,265.88135157020724,11,4
345.6899029257448,288.891537747338,11,4
341.0760779725124,290.9977088715396,11,4
346.87139291933715,248.41515237485925,11,4
376.71357823086754,248.4028427237429,11,4
338.0934619781917,271.68820885955495,11,4
361.2844462907113,280.4163123762742,11,4
360.8957102427901,282.6383069812815,11,4
376.8025503427917,290.6331776827372,11,4
365.2564002488433,281.8034833887924,11,4
352.7914474231176,267.54668444637,11,4
341.7155302834839,277.9761170184628,11,4
371.42288424176,254.2588494661744,11,4
371.45973896217725,291.4698764010492,11,4
351.7407532113334,265.91024505264807,11,4
347.33840373159387,253.0221648200704,11,4
376.05807086330753,258.3776429819148,11,4
345.3232710845763,265.4716433417563,11,4
358.0907185362967,251.08170549344572,11,4
346.8693475007402,289.3773501209003,11,4
352.5354920908967,291.5392580329029,11,4
348.21575347651674,290.0707802524996,11,4
363.9049172642325,284.93256243196333,11,4
337.0773437761406,272.1455587526197,11,4
323.903885251903,204.06881243831802,11,4
373.7986601040337,249.99293108873235,11,4
371.0772980134665,264.2382257359198,11,4
331.20632990191865,270.9098781296593,11,4
369.0602528194156,258.50050860563607,11,4
363.6949596559237,273.3667417982047,11,4
336.9653382632347,254.33181129398184,11,4
347.2652400550305,289.30910028201674,11,4
358.3162069842821,290.1254373727653,11,4
335.5488951686592,271.98810432437296,11,4
369.72435306994544,289.596792417218,11,4
338.03107457527096,255.6611898046037,11,4
346.46823167372014,272.1696899057982,11,4
336.6652975491906,261.6609661121713,11,4
331.3345953655356,260.47085118059164,11,4
342.8566162703818,217.94147497208922,11,4
360.5371533783797,286.5309274286059,11,4
360.1408755100128,267.52113792429867,11,4
366.5448163076526,275.1451453470212,11,4
324.6347317495596,266.0020465334571,11,4
346.0765618123743,264.1697458141938,11,4
363.5212760704173,287.48399975380977,11,4
330.04796373211457,270.8963184899548,11,4
338.5020827673543,274.92222856032413,11,4
346.1589387680156,257.39650883358075,11,4
343.10113380179297,255.0856492973601,11,4
348.0374679293772,267.7735428779584,11,4
356.6683742561,288.49533848642795,11,4
345.5982173108744,253.8508287734409,11,4
345.3068037309752,262.4650619856701,11,4
359.0125100860709,264.0993967721176,11,4
324.5191604548921,276.16440666064835,11,4
335.29415928463226,284.36326565716195,11,4
348.3442506811581,291.8155611250553,11,4
349.2236519962814,260.4797865020476,11,4
355.6705954786172,256.0586648490396,11,4
345.0650672934593,280.1678625302957,11,4
315.4297049485808,279.10002951562603,11,4
315.8864381442104,277.33568317288945,11,4
331.74709442826526,245.4366086630964,11,4
331.01597597219563,258.23960363191645,11,4
344.4127875470841,252.58162821238855,11,4
324.60808147600505,270.20510146666453,11,4
357.6813140993568,280.8781917463569,11,4
316.3760447071225,243.425747481257,11,4
328.6947519235472,275.30654561968726,11,4
357.80984128657684,257.6303025568512,11,4
331.8170449498469,246.81989508894017,11,4
328.3789375383802,260.0431136768028,11,4
318.2212420727752,244.01337028918343,11,4
332.450291398263,247.72112948483343,11,4
316.74915747437313,245.5349536713968,11,4
317.58609527973454,272.83690266617657,11,4
321.0178575632755,250.6276624484273,11,4
319.8440345289075,269.7544069878147,11,4
339.04189420675226,239.34280945419457,11,4
333.04200468570195,246.26622957799916,11,4
329.6224706860144,264.17819377368227,11,4
346.0233914869623,262.345104211921,11,4
336.1350274351213,258.676830837415,11,4
332.6754598542689,269.40122431725683,11,4
336.7952746172016,275.41557062572275,11,4
333.7504022372363,262.7329625204491,11,4
319.80726512981704,262.506546476209,11,4
314.1899123445222,244.6821976137161,11,4
329.21126513014264,273.4424290678406,11,4
327.130895319976,276.44610155163457,11,4
351.7278394335462,266.2150031131991,11,4
332.0846521225676,241.58212324587183,11,4
329.67293634130147,264.91779199179484,11,4
335.60305259787856,232.3679911030968,11,4
355.68728787241014,265.116158727275,11,4
325.6122824165733,237.07008481651155,11,4
344.1691947223372,239.12362403243588,11,4
330.6406583266113,252.77878918028333,11,4
347.774296852598,244.85400045090032,11,4
374.7750297544969,292.1888791406813,11,4
351.3177244059656,273.4291219579072,11,4
333.4044365079726,249.96839283555357,11,4
324.73927906656326,249.6628247901878,11,4
345.50867506663985,252.72082947160376,11,4
326.4577042150517,240.4035754998116,11,4
340.13330008764046,261.60405376977496,11,4
350.7371360491736,231.787377464546,11,4
339.2220331914653,236.16388986690595,11,4
327.27663434592733,270.4509553723869,11,4
340.71696795083767,254.3961742318895,11,4
319.1448217442351,249.55972058472895,11,4
342.0806241833453,260.349954832602,11,4
345.7821583178785,241.399831481576,11,4
345.08787151228057,236.97397438021943,11,4
342.6858825445096,247.6466747444407,11,4
352.13276011161065,237.701063819424,11,4
328.6290513605068,263.4022500312648,11,4
357.70171985976856,225.9128046766202,11,4
358.3134855791539,253.03195201188248,11,4
324.6944750558134,231.3002621097453,11,4
322.7623179142859,245.91054333853535,11,4
327.35421123361755,236.71004879229497,11,4
329.78075350569617,226.91225675235864,11,4
322.8525067228502,262.5673085816818,11,4
361.9558755506925,250.21964756060552,11,4
367.7252897553636,240.5180943576436,11,4
360.2478583790142,263.28532640349835,11,4
341.01066273999163,251.1851973561736,11,4
354.6358871490304,239.26633206450484,11,4
339.79152278089384,252.0032908875353,11,4
346.3606507862981,242.58565295275625,11,4
363.4506195309401,249.6351117622745,11,4
361.4214936560418,240.80086238562976,11,4
345.8387312271625,229.86390053089423,11,4
283.8774651500634,182.48740391899702,11,4
357.86251407054465,231.7261401319582,11,4
