x,y,color
428.437621808325,523.8112707649931,3
427.26488500650026,519.6089036714395,3
434.3241497192221,518.57845368053,3
438.25546717995945,534.4647560335953,3
431.527425436976,514.1153807147068,3
434.2888495180282,522.2036077471189,3
436.142071877575,517.4262763440546,3
431.84074647791005,537.0581459031279,3
419.17430240504893,531.7425840067582,3
423.25678470501657,528.4375595191052,3
443.2552607651021,513.8870788724114,3
420.7410161327406,534.3396463013639,3
431.42850294732233,531.4284604204628,3
420.0026218710132,525.6907580597217,3
432.05474376040223,513.1718207878232,3
424.98542309826837,515.4236159866496,3
434.50423428544127,512.20272021722,3
420.7195700431113,515.3407323910164,3
430.1838111071368,523.8006944017523,3
422.6988849412118,528.4198195801569,3
417.8152538305594,532.0934814454852,3
436.9346194762378,533.048646949382,3
418.5534614520433,524.3003266130683,3
423.3494083109532,532.3879746717661,3
431.66341902025454,533.3451961333403,3
416.2354441376644,526.8517811230105,3
413.3081831371616,530.556305263895,3
414.9943021078989,531.4847292642081,3
431.87264539002234,514.374609747245,3
416.8157987386503,506.04790138940444,3
421.94589978773536,529.4763525321393,3
417.4754653706715,521.4052467991849,3
425.5301042086548,511.25484479975444,3
415.122141167604,528.3019190553155,3
412.5444039358521,515.7501784447862,3
433.04768275114685,529.8105644466107,3
412.37991633675705,510.8165383861187,3
404.90307126442093,512.8589030410313,3
429.88509160771696,506.27145587162846,3
423.1469453019018,510.2498596705979,3
414.3161087620148,522.3258178097341,3
416.19284560249434,512.762737842798,3
425.3512751326188,511.83165594096977,3
422.1586092930724,502.9814286862844,3
423.8198720598298,513.728091355277,3
409.75599352689954,510.71892766383337,3
404.2649169367441,506.1350969150933,3
429.0322111228757,527.4967921997314,3
426.4459189657415,515.306681663669,3
408.4154233456039,518.9764579635493,3
407.27546636536937,502.39869486315115,3
400.3523111918114,503.64438571189123,3
408.8561379168858,519.4306909510134,3
417.6008453503932,513.0475401487184,3
419.15072583538,515.4211610457511,3
411.13721679832327,503.9779889814925,3
402.4262074402441,512.4542782788327,3
416.5385122116569,514.0247904305866,3
405.69567078186554,522.288716487476,3
405.1249314666823,506.8272216203833,3
410.7664848654554,521.1059745673117,3
412.50832082818806,498.47708816227555,3
395.28224524868693,502.8813198661841,3
392.7996317453027,518.1945540010263,3
417.40819901367297,496.9977667172079,3
418.8163167490141,502.99309815290223,3
396.23583180884606,504.2842034070806,3
396.2471190356791,506.1429449092552,3
419.3350431843971,502.03968259393775,3
405.68518944726236,494.93753452011765,3
401.1025529257565,503.8444483746102,3
415.83989136059904,496.3843996066636,3
418.9906171366926,499.5148630578451,3
412.1561990477612,491.91868144773065,3
397.6847732130084,502.8384096252012,3
402.85995496016403,504.12902529486735,3
396.768815967073,510.70366670696916,3
389.2146305874917,514.0357647782006,3
411.8031286769889,496.32481275675303,3
403.78334299309654,495.45260811450174,3
412.12270643982635,500.85098410880096,3
398.5354115760114,507.5368749884681,3
398.80307716987784,514.2694349158502,3
399.14620843115523,508.83269565751084,3
410.29841261871536,513.0730961031376,3
384.694084167284,490.03763218018906,3
404.4596379471009,494.7177459397432,3
391.4966085196928,503.9841836220277,3
400.8814239698794,513.2070962708822,3
410.2266324686831,501.7123020115517,3
386.80421026360267,505.33464457046387,3
383.91525973759997,498.0088169854197,3
398.0475321580614,501.87414173338607,3
387.8996451169878,512.7094076073267,3
385.6143536838272,505.77334071414947,3
408.74612928356305,502.47665196985,3
386.4427592686513,510.5104994077208,3
397.09640347728964,488.1281760837189,3
390.6772404373381,497.6527001240272,3
386.45349777428396,502.9284022312975,3
403.4859908040721,485.33405570391886,3
384.9296018365413,490.7522235047839,3
397.87940584296695,506.38641352523473,3
394.9971398886221,510.31636544539356,3
385.48440377391137,488.00216879776946,3
393.2381437967863,489.27102029250216,3
400.5694982315778,507.2082504944481,3
385.0780244672034,505.657530345868,3
397.07359906875115,487.33007304916737,3
374.31552107373864,487.4163695648981,3
397.1241682212673,501.4296412003199,3
393.5613409719051,486.24188032734844,3
380.4958945065997,491.40655880085984,3
378.6485313475892,504.6085073192788,3
394.7864670078595,495.8259649201668,3
389.8822978884368,492.66545822801584,3
374.2979610722769,481.84989970899466,3
400.0315959114983,487.45979637869175,3
382.3340406374356,503.34497540466015,3
379.76788325687727,499.1532472921709,3
399.8735136979388,483.5509791109184,3
368.6671827326283,484.5857693785326,3
374.39133288534236,497.6259633189546,3
373.78952067969664,476.14907864779417,3
380.03982335760514,490.41674956663667,3
392.77875663425675,494.3791625002413,3
379.1963435005303,477.7476179693623,3
376.5725668451903,482.98308256031,3
385.2016418921831,495.41062496811804,3
380.9489147494099,484.2064206507428,3
380.715917167368,480.4967426576807,3
370.2937327022634,484.2119198352341,3
379.06619386055684,488.1582601772514,3
373.13413286592294,474.09731525808706,3
